,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
33,DELHY,Delivery Hero SE,4.4600,-0.2700,-5.71%,"114,844","33,327",11.191B,N/A,16/09/2022 05:42:09
34,FLYW,Flywire Corporation,25.46,-1.54,-5.70%,"942,619",1.487M,2.756B,"1,273.00",16/09/2022 05:42:09
35,CSAN,Cosan S.A.,13.57,-0.82,-5.70%,"205,029","109,936",6.729B,6.37,16/09/2022 05:42:09
36,SGML,Sigma Lithium Corporation,27.25,-1.62,-5.61%,"516,814",1.434M,2.751B,N/A,16/09/2022 05:42:09
37,JKS,"JinkoSolar Holding Co., Ltd.",58.08,-3.42,-5.56%,1.281M,1.813M,2.911B,35.41,16/09/2022 05:42:09
38,MDB,"MongoDB, Inc.",233.52,-13.70,-5.54%,1.615M,2.991M,16.044B,N/A,16/09/2022 05:42:09
39,PDCE,"PDC Energy, Inc.",64.49,-3.77,-5.52%,1.488M,"730,060",6.211B,5.11,16/09/2022 05:42:09
40,WE,WeWork Inc.,3.7800,-0.2200,-5.50%,5.07M,2.298M,2.996B,N/A,16/09/2022 05:42:09
41,PBF,PBF Energy Inc.,28.77,-1.66,-5.46%,2.754M,4.631M,3.508B,2.60,16/09/2022 05:42:09
42,EC,Ecopetrol S.A.,10.42,-0.60,-5.44%,1.609M,1.258M,20.954B,3.64,16/09/2022 05:42:09
43,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,9.31,-0.52,-5.29%,1.877M,2.559M,6.555B,12.09,16/09/2022 05:42:09
44,RIG,Transocean Ltd.,3.2300,-0.1800,-5.28%,18.305M,25.927M,2.418B,N/A,16/09/2022 05:42:09
45,CCJ,Cameco Corporation,28.90,-1.57,-5.15%,5.9M,7.163M,11.511B,240.83,16/09/2022 05:42:09
46,EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,8.87,-0.48,-5.13%,"57,003","77,160",19.554B,10.95,16/09/2022 05:42:09
47,CLPXY,China Longyuan Power Group Corporation Limited,14.94,-0.80,-5.11%,"12,703","29,172",19.522B,16.79,16/09/2022 05:42:09
48,IHS,IHS Holding Limited,6.70,-0.36,-5.10%,"230,522","348,186",2.222B,95.71,16/09/2022 05:42:09
49,SWN,Southwestern Energy Company,7.65,-0.41,-5.09%,41.166M,27.498M,8.524B,N/A,16/09/2022 05:42:09
50,SI,Silvergate Capital Corporation,83.79,-4.46,-5.05%,"920,164","644,629",2.653B,25.78,16/09/2022 05:42:09
51,PTEN,"Patterson-UTI Energy, Inc.",14.67,-0.78,-5.05%,3.075M,1.904M,3.181B,N/A,16/09/2022 05:42:09
52,MGY,Magnolia Oil & Gas Corporation,22.95,-1.22,-5.05%,1.999M,1.754M,6.635B,6.15,16/09/2022 05:42:09
53,AR,Antero Resources Corporation,39.76,-2.11,-5.04%,7.556M,4.709M,12.171B,12.70,16/09/2022 05:42:09
54,ARCH,"Arch Resources, Inc.",127.64,-6.70,-4.99%,"644,766","681,778",2.368B,2.55,16/09/2022 05:42:09
55,MAKSY,Marks and Spencer Group plc,2.6700,-0.1400,-4.98%,"37,658","56,655",2.659B,7.63,16/09/2022 05:42:09
56,EQT,EQT Corporation,48.09,-2.51,-4.96%,7.193M,8.83M,17.791B,N/A,16/09/2022 05:42:09
57,SMG,The Scotts Miracle-Gro Company,53.44,-2.78,-4.94%,"575,087",1.176M,2.961B,7.62,16/09/2022 05:42:09
58,LTHM,Livent Corporation,33.32,-1.73,-4.94%,3.752M,3.984M,5.973B,57.45,16/09/2022 05:42:09
59,GBTG,"Global Business Travel Group, Inc.",6.75,-0.35,-4.93%,"78,760","78,434",3.047B,N/A,16/09/2022 05:42:09
60,TPL,Texas Pacific Land Corporation,"1,767.14",-91.17,-4.91%,"38,388","39,440",13.647B,36.04,16/09/2022 05:42:09
61,BCRX,"BioCryst Pharmaceuticals, Inc.",12.83,-0.66,-4.89%,2.863M,3.459M,2.386B,N/A,16/09/2022 05:42:09
62,ROIV,Roivant Sciences Ltd.,3.5000,-0.1800,-4.89%,"929,035",1.053M,2.463B,N/A,16/09/2022 05:42:09
63,HP,"Helmerich & Payne, Inc.",44.14,-2.25,-4.85%,"978,745","770,819",4.648B,N/A,16/09/2022 05:42:09
64,SM,SM Energy Company,44.64,-2.26,-4.82%,1.9M,1.204M,5.491B,6.07,16/09/2022 05:42:09
65,MTDR,Matador Resources Company,58.57,-2.96,-4.81%,1.324M,"997,269",6.918B,6.72,16/09/2022 05:42:09
66,CSIQ,Canadian Solar Inc.,40.38,-2.04,-4.81%,1.238M,1.092M,2.595B,19.89,16/09/2022 05:42:09
67,PSX,Phillips 66,81.87,-4.13,-4.80%,3.502M,4.936M,39.384B,6.94,16/09/2022 05:42:09
68,LSRCY,Lasertec Corporation,25.21,-1.27,-4.80%,"138,237","63,928",11.147B,86.93,16/09/2022 05:42:09
69,NOW,"ServiceNow, Inc.",435.55,-21.94,-4.80%,1.586M,1.92M,87.981B,500.63,16/09/2022 05:42:09
70,WYNMY,"Wynn Macau, Limited",6.18,-0.31,-4.78%,"9,779","33,534",3.202B,N/A,16/09/2022 05:42:09
71,NOVA,Sunnova Energy International Inc.,27.68,-1.37,-4.72%,3.256M,2.106M,3.174B,N/A,16/09/2022 05:42:09
72,RRC,Range Resources Corporation,31.41,-1.55,-4.70%,4.566M,3.139M,8.257B,14.82,16/09/2022 05:42:09
73,WHD,"Cactus, Inc.",43.04,-2.12,-4.69%,"562,156","416,231",3.269B,34.71,16/09/2022 05:42:09
74,CPG,Crescent Point Energy Corp.,6.95,-0.34,-4.66%,13.357M,11.12M,3.975B,3.17,16/09/2022 05:42:09
75,AQUA,Evoqua Water Technologies Corp.,36.50,-1.78,-4.65%,"593,193",1.531M,4.434B,77.66,16/09/2022 05:42:09
76,SSMXY,Sysmex Corporation,27.73,-1.34,-4.61%,"51,991","46,416",11.524B,39.06,16/09/2022 05:42:09
77,NHYKF,Norsk Hydro ASA,6.30,-0.30,-4.55%,"38,346","136,482",13.387B,5.29,16/09/2022 05:42:09
78,PUMSY,PUMA SE,5.65,-0.27,-4.54%,"9,753","20,182",8.554B,24.57,16/09/2022 05:42:09
79,CTRA,Coterra Energy Inc.,30.77,-1.46,-4.53%,8.946M,7.185M,24.48B,7.38,16/09/2022 05:42:09
80,ICL,ICL Group Ltd,8.45,-0.40,-4.52%,1.212M,2.424M,10.79B,6.45,16/09/2022 05:42:09
81,GNGBY,Getinge AB (publ),17.36,-0.82,-4.51%,"48,951","74,890",5.622B,19.08,16/09/2022 05:42:09
82,AEM,Agnico Eagle Mines Limited,41.08,-1.92,-4.47%,3.118M,4.386M,18.733B,23.61,16/09/2022 05:42:09
83,MAT,"Mattel, Inc.",22.08,-1.03,-4.46%,2.635M,3.209M,7.8B,7.08,16/09/2022 05:42:09
84,CX,"CEMEX, S.A.B. de C.V.",3.6500,-0.1700,-4.45%,4.714M,5.995M,5.307B,7.30,16/09/2022 05:42:09
85,BRFS,BRF S.A.,2.8200,-0.1300,-4.41%,3.559M,2.101M,3.233B,N/A,16/09/2022 05:42:09
86,KNBE,"KnowBe4, Inc.",18.44,-0.85,-4.41%,"945,543","859,404",3.24B,108.47,16/09/2022 05:42:09
87,ANET,"Arista Networks, Inc.",116.94,-5.32,-4.35%,1.836M,1.817M,35.936B,40.19,16/09/2022 05:42:09
88,ADDYY,adidas AG,68.04,-3.08,-4.33%,"158,982","240,257",24.889B,21.88,16/09/2022 05:42:09
89,CEIX,CONSOL Energy Inc.,65.21,-2.95,-4.33%,"753,338","558,124",2.274B,17.96,16/09/2022 05:42:09
90,OVV,Ovintiv Inc.,51.32,-2.32,-4.33%,4.477M,2.822M,13.051B,5.58,16/09/2022 05:42:09
91,DAVA,Endava plc,84.17,-3.80,-4.32%,"126,316","385,979",4.713B,63.77,16/09/2022 05:42:09
92,IMO,Imperial Oil Limited,46.45,-2.09,-4.31%,"660,353","551,524",29.595B,7.73,16/09/2022 05:42:09
93,REPYY,"Repsol, S.A.",12.25,-0.55,-4.30%,"115,238","73,692",17.22B,4.77,16/09/2022 05:42:09
94,CMTG,"Claros Mortgage Trust, Inc.",15.61,-0.70,-4.29%,"735,443",2.668M,2.177B,13.46,16/09/2022 05:42:09
95,DOOO,BRP Inc.,70.93,-3.18,-4.29%,"64,429","179,373",5.586B,11.53,16/09/2022 05:42:09
96,GXO,"GXO Logistics, Inc.",43.72,-1.96,-4.29%,1.094M,1.075M,5.186B,23.76,16/09/2022 05:42:09
97,INFA,Informatica Inc.,21.12,-0.94,-4.26%,"424,064","204,064",5.937B,N/A,16/09/2022 05:42:09
98,ESTE,"Earthstone Energy, Inc.",15.29,-0.68,-4.26%,1.852M,1.861M,2.18B,5.93,16/09/2022 05:42:09
99,LAC,Lithium Americas Corp.,30.36,-1.34,-4.23%,2.361M,2.205M,4.086B,N/A,16/09/2022 05:42:09
