,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
51,BGNE,"BeiGene, Ltd.",160.63,+6.38,+4.14%,"252,435","165,564",16.031B,N/A,16/09/2022 05:42:09
52,PSNYW,Polestar Automotive Holding UK PLC,1.5200,+0.0600,+4.11%,"197,148","176,573",16.398B,N/A,16/09/2022 05:42:09
53,GEBHY,Genting Berhad,5.10,+0.20,+4.08%,"6,158","60,197",4.004B,N/A,16/09/2022 05:42:09
54,ALL,The Allstate Corporation,129.02,+5.02,+4.05%,1.772M,2.479M,34.874B,41.89,16/09/2022 05:42:09
55,LVS,Las Vegas Sands Corp.,39.69,+1.54,+4.04%,5.743M,8.466M,30.329B,16.41,16/09/2022 05:42:09
56,ROLL,RBC Bearings Incorporated,238.18,+9.17,+4.00%,"154,382","268,536",6.891B,120.90,16/09/2022 05:42:09
57,FL,"Foot Locker, Inc.",39.03,+1.48,+3.94%,2.896M,2.981M,3.642B,7.88,16/09/2022 05:42:09
58,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",57.17,+2.15,+3.91%,1.288M,1.608M,3.578B,40.84,16/09/2022 05:42:09
59,CRSP,CRISPR Therapeutics AG,75.01,+2.82,+3.91%,1.764M,1.679M,5.851B,19.95,16/09/2022 05:42:09
60,SOFI,"SoFi Technologies, Inc.",6.41,+0.24,+3.89%,39.918M,58.304M,5.126B,N/A,16/09/2022 05:42:09
61,CIHKY,"China Merchants Bank Co., Ltd.",25.97,+0.97,+3.88%,"66,466","42,859",130.754B,7.29,16/09/2022 05:42:09
62,RCL,Royal Caribbean Cruises Ltd.,50.83,+1.89,+3.86%,7.484M,8.831M,12.965B,N/A,16/09/2022 05:42:09
63,QS,QuantumScape Corporation,11.89,+0.43,+3.75%,5.907M,10.381M,5.145B,N/A,16/09/2022 05:42:09
64,FATE,"Fate Therapeutics, Inc.",27.05,+0.97,+3.72%,1.465M,1.49M,2.624B,N/A,16/09/2022 05:42:09
65,EBKDY,Erste Group Bank AG,13.22,+0.47,+3.69%,"172,732","263,381",10.419B,5.60,16/09/2022 05:42:09
66,BLCO,Bausch + Lomb Corporation,17.76,+0.63,+3.68%,1.249M,1.049M,6.221B,45.54,16/09/2022 05:42:09
67,EDU,New Oriental Education & Technology Group Inc.,25.70,+0.91,+3.67%,3.179M,1.514M,4.507B,N/A,16/09/2022 05:42:09
68,CAIXY,"CaixaBank, S.A.",1.1400,+0.0401,+3.65%,"560,982","325,683",27.853B,12.67,16/09/2022 05:42:09
69,WBD,"Warner Bros. Discovery, Inc.",13.17,+0.46,+3.62%,24.042M,22.448M,31.971B,7.28,16/09/2022 05:42:09
70,CUK,Carnival Corporation & plc,9.66,+0.33,+3.54%,2.897M,2.765M,11.041B,N/A,16/09/2022 05:42:09
71,PINS,"Pinterest, Inc.",25.63,+0.87,+3.51%,16.444M,18.427M,17.261B,80.09,16/09/2022 05:42:09
72,TWODY,Taylor Wimpey plc,12.42,+0.42,+3.50%,"1,027","36,195",4.557B,6.68,16/09/2022 05:42:09
73,BRDG,Bridge Investment Group Holdings Inc.,16.61,+0.56,+3.49%,"99,641","107,966",2.551B,12.30,16/09/2022 05:42:09
74,SSTK,"Shutterstock, Inc.",56.09,+1.89,+3.49%,"321,067","414,914",2.017B,26.33,16/09/2022 05:42:09
75,ORI,Old Republic International Corporation,22.01,+0.74,+3.48%,1.662M,3.527M,6.8B,6.88,16/09/2022 05:42:09
76,CCL,Carnival Corporation & plc,10.92,+0.35,+3.31%,53.362M,58.519M,14.006B,N/A,16/09/2022 05:42:09
77,BTDPY,Barratt Developments plc,9.69,+0.31,+3.30%,"61,585","63,196",4.775B,8.43,16/09/2022 05:42:09
78,SNAP,Snap Inc.,11.90,+0.38,+3.30%,55.432M,42.381M,19.623B,N/A,16/09/2022 05:42:09
79,OCDDY,Ocado Group plc,14.81,+0.47,+3.28%,"72,645","28,610",5.915B,N/A,16/09/2022 05:42:09
80,ELV,Elevance Health Inc.,485.33,+15.22,+3.24%,"934,750","733,463",116.48B,19.44,16/09/2022 05:42:09
81,FOX,Fox Corporation,32.03,+1.00,+3.22%,1.046M,1.164M,18.343B,15.18,16/09/2022 05:42:09
82,STJPF,St. James's Place plc,12.59,+0.39,+3.20%,"3,825","20,569",6.824B,16.14,16/09/2022 05:42:09
83,COLB,"Columbia Banking System, Inc.",30.73,+0.94,+3.16%,"763,216","951,666",2.417B,11.09,16/09/2022 05:42:09
84,SAN,"Banco Santander, S.A.",2.6300,+0.0800,+3.14%,6.895M,4.842M,44.693B,5.16,16/09/2022 05:42:09
85,FOXA,Fox Corporation,34.56,+1.04,+3.10%,2.189M,3.367M,18.379B,16.38,16/09/2022 05:42:09
86,MASI,Masimo Corporation,155.25,+4.58,+3.04%,"901,316","740,534",8.155B,45.26,16/09/2022 05:42:09
87,APPF,"AppFolio, Inc.",101.62,+2.96,+3.00%,"92,980","124,104",3.557B,N/A,16/09/2022 05:42:09
