,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
72,KEY,KeyCorp,18.07,+0.43,+2.44%,15.088M,9.522M,16.853B,<span>N/A</span>,16/09/2022 05:42:09
73,GM,General Motors Company,40.66,+0.04,+0.10%,14.76M,14.576M,59.284B,<span>N/A</span>,16/09/2022 05:42:09
74,TLRY,"Tilray Brands, Inc.",3.3900,+0.0100,+0.30%,15.279M,25.172M,2.001B,<span>N/A</span>,16/09/2022 05:42:09
75,PYPL,"PayPal Holdings, Inc.",96.40,-1.26,-1.29%,15.043M,13.947M,112.941B,<span>N/A</span>,16/09/2022 05:42:09
76,FSR,Fisker Inc.,9.15,-0.08,-0.87%,14.81M,5.05M,2.733B,<span>N/A</span>,16/09/2022 05:42:09
77,PARA,Paramount Global,23.05,+1.13,+5.16%,14.745M,9.116M,15.098B,<span>N/A</span>,16/09/2022 05:42:09
78,NKLA,Nikola Corporation,5.22,-0.15,-2.79%,14.714M,10.879M,2.263B,<span>N/A</span>,16/09/2022 05:42:09
79,X,United States Steel Corporation,20.30,-0.13,-0.64%,14.506M,11.997M,4.816B,<span>N/A</span>,16/09/2022 05:42:09
80,BCS,Barclays PLC,8.02,+0.08,+1.01%,14.454M,6.399M,32.547B,<span>N/A</span>,16/09/2022 05:42:09
81,KMI,"Kinder Morgan, Inc.",18.33,-0.20,-1.08%,16.636M,15.288M,41.491B,<span>N/A</span>,16/09/2022 05:42:09
82,KGC,Kinross Gold Corporation,3.3000,-0.0800,-2.37%,14.422M,19.001M,4.3B,<span>N/A</span>,16/09/2022 05:42:09
83,AUY,Yamana Gold Inc.,4.3200,-0.1200,-2.70%,13.364M,16M,4.176B,<span>N/A</span>,16/09/2022 05:42:09
84,FCX,Freeport-McMoRan Inc.,29.78,-0.25,-0.83%,13.343M,19.914M,42.564B,<span>N/A</span>,16/09/2022 05:42:09
85,MPW,"Medical Properties Trust, Inc.",13.69,-0.10,-0.73%,13.436M,7.369M,8.2B,<span>N/A</span>,16/09/2022 05:42:09
86,PCG,PG&E Corporation,13.11,-0.11,-0.83%,13.407M,13.003M,32.322B,<span>N/A</span>,16/09/2022 05:42:09
87,LUMN,"Lumen Technologies, Inc.",8.96,+0.01,+0.11%,13.326M,10.603M,9.277B,<span>N/A</span>,16/09/2022 05:42:09
88,CLVT,Clarivate Plc,10.91,-0.67,-5.79%,11.886M,4.872M,7.348B,<span>N/A</span>,16/09/2022 05:42:09
89,WFC,Wells Fargo & Company,44.14,+0.86,+1.99%,12.72M,17.362M,167.425B,<span>N/A</span>,16/09/2022 05:42:09
90,GPS,"The Gap, Inc.",9.00,-0.34,-3.64%,11.271M,8.146M,3.273B,<span>N/A</span>,16/09/2022 05:42:09
91,BTG,B2Gold Corp.,3.2900,-0.1100,-3.24%,12.691M,11.639M,3.649B,<span>N/A</span>,16/09/2022 05:42:09
92,IBN,ICICI Bank Limited,23.17,-0.21,-0.90%,12.223M,7.703M,80.441B,<span>N/A</span>,16/09/2022 05:42:09
93,HPE,Hewlett Packard Enterprise Company,13.07,+0.04,+0.31%,12.404M,10.604M,16.817B,<span>N/A</span>,16/09/2022 05:42:09
94,USB,U.S. Bancorp,45.87,+0.77,+1.71%,11.418M,6.255M,68.153B,<span>N/A</span>,16/09/2022 05:42:09
95,ORCL,Oracle Corporation,70.24,-1.88,-2.61%,12.185M,7.532M,189.342B,<span>N/A</span>,16/09/2022 05:42:09
96,GGB,Gerdau S.A.,4.3700,-0.0400,-0.91%,12.354M,17.102M,7.345B,<span>N/A</span>,16/09/2022 05:42:09
97,FTCH,Farfetch Limited,11.31,-0.07,-0.62%,12.085M,11.224M,4.313B,<span>N/A</span>,16/09/2022 05:42:09
98,BABA,Alibaba Group Holding Limited,88.83,-0.09,-0.10%,11.927M,22.75M,235.01B,<span>N/A</span>,16/09/2022 05:42:09
99,RKLB,"Rocket Lab USA, Inc.",5.10,-0.61,-10.68%,11.841M,4.429M,2.392B,<span>N/A</span>,16/09/2022 05:42:09
